,completeness,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g
881,0.275,361.0,1510.0,13.0,7.88,52.5,25.9,7.35,0.27,0.108
882,0.275,269.0,1125.0,1.8,0.53,52.6,2.6,9.0,1.44,0.576
883,0.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
885,0.275,400.0,1674.0,7.5,2.5,42.5,17.5,40.0,1.75,0.7
886,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
887,0.275,271.0,1134.0,4.1,0.4,46.0,2.3,9.6,1.44,0.576
888,0.375,1.965,8.0,5.2,2.2,0.7,0.3,6.6,1.9,0.76
889,0.375,375.0,1569.0,25.0,8.2,2.5,1.3,35.0,3.4,1.36
890,0.275,97.0,406.0,5.0,2.5,7.0,7.0,4.0,1.5,0.6
891,0.375,317.0,1326.0,21.8,14.5,24.8,22.5,4.6,0.11,0.044
892,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
893,0.4875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
894,0.275,264.0,1105.0,5.0,1.0,40.0,3.0,30.0,1.0,0.4
895,0.275,264.0,1105.0,5.0,0.6,40.5,3.1,10.0,1.2,0.48
896,0.275,453.125,1896.0,18.75,9.375,60.9375,3.125,9.375,0.5859375,0.234375
897,0.4875,380.0,1590.0,1.0,0.2,0.7,0.7,92.0,0.5,0.2
898,0.8875,442.0,1852.0,22.0,2.6,54.0,25.0,6.4,0.53,0.212
899,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
902,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
903,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
904,0.4625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
905,0.3625,39.0,163.0,0.5,0.100000001490116,6.5,1.5,1.5,0.0,0.0
906,0.375,465.0,1946.0,28.0,13.8,46.5,18.0,6.0,0.649,0.2596
907,0.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908,0.6875,617.0,2582.0,48.0,10.0,36.0,32.0,8.0,0.01,0.004
909,0.2625,399.0,1669.0,2.0,0.1,95.0,89.0,0.3,0.0,0.0
910,0.2625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
